"periode_data","tahun","periode","waktu_sampling","nama_lokasi","kecamatan","lintang_selatan","bujur_timur","parameter","satuan","baku_mutu","nilai"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Sulfat SO42-","mg L","400","37,59"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Organik KMNO4","mg L","10","8,57"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Total Coliform","CFU 100 ml","50","12000"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","E. Coli","CFU 100 ml","50","12000"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","pH","-","6,5-8,5","7,35"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","TDS ppm","mg L","1000","510"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Turbidity NTU","NTU","25","64,7"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Nilai IP","-","-","9,21238933"
"2022","2022","1","Maret - April 2022","Gambir","Gambir","-6,179384","106,820507","Kategori","-","-","cemar sedang"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Warna","TCU","50","10"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Besi Fe","mg L","1","0,04"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Fluorida F-","mg L","1,5","0,4"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Kesadahan CaCO3","mg L","500","32,83"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Mangan Mn","mg L","0,5","0,06"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Nitrat sebagai N","mg L","10","0,04"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Nitrit NO2-N","mg L","1","0,01"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Sulfat SO42-","mg L","400","24,02"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Fluorida F-","mg L","1,5","0,53"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Kesadahan CaCO3","mg L","500","104,9"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Mangan Mn","mg L","0,5","0,03"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Nitrat sebagai N","mg L","10","0,41"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Nitrit NO2-N","mg L","1","0,07"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,12"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Sulfat SO42-","mg L","400","53,42"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Timbal Pb","mg L","0,05","0,04"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Organik KMNO4","mg L","10","4,64"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Total Coliform","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","E. Coli","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","pH","-","6,5-8,5","7,26"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","TDS ppm","mg L","1000","893"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Turbidity NTU","NTU","25","0,04"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Nilai IP","-","-","2,066179855"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Kategori","-","-","cemar ringan"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Warna","TCU","50","6"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Besi Fe","mg L","1","0,05"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Fluorida F-","mg L","1,5","0,6"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Kesadahan CaCO3","mg L","500","123,24"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Mangan Mn","mg L","0,5","0,03"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Nitrat sebagai N","mg L","10","0,04"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Nitrit NO2-N","mg L","1","0,01"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,14"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Raksa Hg","mg L","0,001","0,0001"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Sulfat SO42-","mg L","400","34,94"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Organik KMNO4","mg L","10","4,64"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","Total Coliform","CFU 100 ml","50","300"
"2022","2022","1","Maret - April 2022","Kartini","Sawah Besar","-6,153055556","106,8316667","E. Coli","CFU 100 ml","50","300"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Organik KMNO4","mg L","10","2,03"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Total Coliform","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","E. Coli","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","pH","-","6,5-8,5","7,24"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","TDS ppm","mg L","1000","450"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Turbidity NTU","NTU","25","0,3"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Nilai IP","-","-","0,442962746"
"2022","2022","1","Maret - April 2022","Kebon Kelapa","Gambir","-6,164583333","106,82525","Kategori","-","-","baik"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Warna","TCU","50","159"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Besi Fe","mg L","1","2,23"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Fluorida F-","mg L","1,5","0,38"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Kesadahan CaCO3","mg L","500","123,98"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Mangan Mn","mg L","0,5","0,29"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Nitrat sebagai N","mg L","10","0,44"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Nitrit NO2-N","mg L","1","0,05"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,11"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Raksa Hg","mg L","0,001","0,0001"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Sulfat SO42-","mg L","400","27,38"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Organik KMNO4","mg L","10","16,78"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Total Coliform","CFU 100 ml","50","8300"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","E. Coli","CFU 100 ml","50","8300"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","pH","-","6,5-8,5","7,23"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","TDS ppm","mg L","1000","710"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Turbidity NTU","NTU","25","5,5"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Nilai IP","-","-","8,667298257"
"2022","2022","1","Maret - April 2022","Petojo Selatan","Gambir","-6,180337","106,816066","Kategori","-","-","cemar sedang"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Warna","TCU","50","34"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Besi Fe","mg L","1","0,52"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Fluorida F-","mg L","1,5","0,17"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Kesadahan CaCO3","mg L","500","91,23"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Mangan Mn","mg L","0,5","0,16"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Nitrat sebagai N","mg L","10","0,24"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Nitrit NO2-N","mg L","1","0,01"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,06"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Sulfat SO42-","mg L","400","31,62"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Organik KMNO4","mg L","10","4,64"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Total Coliform","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","E. Coli","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","pH","-","6,5-8,5","-"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","TDS ppm","mg L","1000","-"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Turbidity NTU","NTU","25","-"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Nilai IP","-","-","3,818913691"
"2022","2022","1","Maret - April 2022","Petojo Utara","Gambir","-6,162361111","106,8175","Kategori","-","-","cemar ringan"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Warna","TCU","50","22"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Besi Fe","mg L","1","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Fluorida F-","mg L","1,5","0,73"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Kesadahan CaCO3","mg L","500","122,37"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Mangan Mn","mg L","0,5","0,23"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Nitrat sebagai N","mg L","10","0,61"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Nitrit NO2-N","mg L","1","0,05"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Raksa Hg","mg L","0,001","0,00005"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Sulfat SO42-","mg L","400","70,64"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Organik KMNO4","mg L","10","2,32"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Total Coliform","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","E. Coli","CFU 100 ml","50","0"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","pH","-","6,5-8,5","7,59"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","TDS ppm","mg L","1000","1235"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Turbidity NTU","NTU","25","0,17"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Nilai IP","-","-","1,050344927"
"2022","2022","1","Maret - April 2022","Gunung Sahari Utara","Sawah Besar","-6,153101","106,838736","Kategori","-","-","cemar ringan"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Warna","TCU","50","4"
"2022","2022","1","Maret - April 2022","Karang Anyar Utara","Sawah Besar","-6,155555556","106,8286111","Besi Fe","mg L","1","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Mangan Mn","mg L","0,5","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Nitrat sebagai N","mg L","10","1,36"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Nitrit NO2-N","mg L","1","0,02"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Surfaktan anionik Senyawa Aktif Biru Metilen","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Raksa Hg","mg L","0,001","0,0001"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Kadmium Cd","mg L","0,005","0,003"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Krom Heksavalen Cr-VI","mg L","0,05","0,003"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Seng Zn","mg L","15","0,006"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Sulfat SO42-","mg L","400","29,52"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Timbal Pb","mg L","0,05","0,03"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Organik KMNO4","mg L","10","4,28"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Total Coliform","CFU 100 ml","50","600"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","E. Coli","CFU 100 ml","50","600"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","pH","-","6,5-8,5","7,77"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","TDS ppm","mg L","1000","381"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Turbidity NTU","NTU","25","0,32"
"2022","2022","1","Maret - April 2022","Gunung Sahari Selatan","Kemayoran","-6,160555556","106,8458333","Nilai IP","-","-","4,561948408"
